Date,Customer,Product,City,Quantity,Price,Cost
01-01-2026,C101,Laptop,Chennai,2,50000,40000
02-01-2026,C102,Mouse,Hyderabad,5,500,300
03-01-2026,C103,Phone,Bangalore,3,20000,15000
04-01-2026,C104,Keyboard,Chennai,4,1000,600
05-01-2026,C105,Headphone,Hyderabad,2,2000,1200
06-01-2026,C101,Laptop,Bangalore,1,50000,40000
07-01-2026,C102,Mouse,Chennai,8,500,300
08-01-2026,C106,Phone,Hyderabad,2,20000,15000
09-01-2026,C107,Keyboard,Bangalore,6,1000,600
10-01-2026,C103,Headphone,Chennai,5,2000,1200
11-01-2026,C108,Laptop,Hyderabad,2,50000,40000
12-01-2026,C109,Mouse,Bangalore,10,500,300
13-02-2026,C110,Phone,Chennai,4,20000,15000
14-02-2026,C101,Laptop,Chennai,1,50000,40000
15-02-2026,C102,Keyboard,Hyderabad,5,1000,600
16-02-2026,C103,Headphone,Bangalore,4,2000,1200
17-02-2026,C104,Mouse,Chennai,7,500,300
18-02-2026,C105,Phone,Hyderabad,3,20000,15000
19-02-2026,C106,Laptop,Bangalore,2,50000,40000
20-02-2026,C107,Keyboard,Chennai,8,1000,600
21-03-2026,C108,Headphone,Hyderabad,6,2000,1200
22-03-2026,C109,Mouse,Bangalore,12,500,300
23-03-2026,C110,Phone,Chennai,2,20000,15000
24-03-2026,C101,Laptop,Hyderabad,1,50000,40000
25-03-2026,C102,Keyboard,Bangalore,6,1000,600
26-03-2026,C103,Headphone,Chennai,5,2000,1200
